,paper,schools,regions,COO
2093,Graph Transformer ,"Duke University;Carnegie Mellon University;Carnegie Mellon University;Tsinghua University, Tsinghua University;Carnegie Mellon University",usa,usa
2094,Automata Guided Skill Composition,Boston University;Boston University;Boston University,europe,it
2095,Manifold Mixup: Learning Better Representations by Interpolating Hidden States,Aalto University;University of Montreal;;Sharif University of Technology;University of Montreal;University of Montreal;University of Montreal,canada,ca
2096,Convolutional Neural Networks combined with Runge-Kutta Methods,Northeastern University;University of British Columbia;Northeastern University,usa,usa
2097,Exploring and Enhancing the Transferability of Adversarial Examples,Peking University;Peking University;Peking University,asia,cn
2098,Invariance and Inverse Stability under ReLU,Universität Bremen;Universität Bremen;Universität Bremen;Universität Bremen,NAN,NAN
2099,Improving Sentence Representations with Multi-view Frameworks,"University of California, San Diego;University of California, San Diego",usa,usa
2100,Principled Deep Neural Network Training through Linear Programming,Columbia University;Polytechnique Montreal;Georgia Institute of Technology,usa,usa
2101,The Importance of Norm Regularization in Linear Graph Embedding: Theoretical Analysis and Empirical Demonstration,";University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign;University of Illinois, Urbana Champaign",usa,usa
2102,Learning to Decompose Compound Questions with Reinforcement Learning,Zhejiang University;Zhejiang University;Zhejiang University;Alibaba Group;Zhejiang University,asia,cn
2103,Dimension-Free Bounds for Low-Precision Training,;Cornell University,usa,usa
2104,Hint-based Training for Non-Autoregressive Translation,Peking University;Microsoft;Microsoft;Microsoft;Peking University;Microsoft,NAN,NAN
2105,Convergence Guarantees for RMSProp and ADAM in Non-Convex Optimization and an Empirical Comparison to Nesterov Acceleration,"University of Maryland, College Park;Johns Hopkins University;Johns Hopkins University",usa,usa
2106,Globally Soft Filter Pruning For Efficient Convolutional Neural Networks,Beijing Jiaotong University;Beijing Jiaotong University;Beijing Jiaotong University;Beijing Jiaotong University;Beijing Jiaotong University,NAN,NAN
