institution,ranking
University of Valladolid,1053
University of Sfax,1053
Democritus University of Thrace,1053
Chuo University,1053
Shahrekord University,1057
National Taiwan Ocean University,1057
National Taipei University,1057
Erciyes University,1057
Corvinus University of Budapest,1057
Chung Yuan Christian University,1057
University of Yamanashi,1063
Ural Federal University,1063
Toho University,1063
National Research Saratov State University,1063
University of Lethbridge,1063
University of León,1068
Huaqiao University,1068
Polytechnic University of Cartagena,1068
"Birla Institute of Technology and Science, Pilani",1068
Southwest Jiaotong University,1072
Institut Teknologi Sepuluh Nopember,1072
Saitama Medical University,1072
University of Chester,1072
University of Zagreb,1076
SASTRA University,1076
University of Tunis El Manar,1078
Shahrood University of Technology,1078
De La Salle University,1078
Wenzhou Medical University,1081
North China Electric Power University,1081
Czech University of Life Sciences Prague (CULS),1081
Showa University,1084
National Chung Hsing University,1084
Federal University of São Carlos,1084
Ehime University,1084
Austral University of Chile,1084
Anadolu University,1084
University of Zanjan,1090
Yokohama National University,1090
St Petersburg Electrotechnical University (LETI),1090
Saitama University,1090
Gunma University,1090
Toyohashi University of Technology (TUT),1095
Pontifical Catholic University of Valparaíso,1095
University of Mumbai,1095
London South Bank University,1095
Imam Abdulrahman Bin Faisal University,1095
Feng Chia University,1095
Chungnam National University,1095
Andrés Bello University (UNAB),1095
Mohammed V University of Rabat,1103
Incheon National University,1103
Chiang Mai University,1103
University of Toyama,1106
Osaka Prefecture University,1106
University of Manouba,1108
Federal University of Ceará (UFC),1108
SWPS University of Social Sciences and Humanities,1110
Silesian University of Technology,1110
Gebze Technical University,1110
Assiut University,1110
Nara Medical University,1114
Khon Kaen University,1114
Catholic University of the North,1114
Universitas Gadjah Mada,1117
Federal University of Viçosa,1117
University of Concepción,1117
University of Antioquia,1117
Annamalai University,1117
Andhra University,1117
Zagazig University,1123
Tribhuvan University,1123
KIIT University,1123
Belgorod State National Research University,1123
National Yunlin University of Science and Technology,1127
National University of Cuyo,1127
Federal University of Bahia,1127
Federal University of ABC (UFABC),1127
AGH University of Science and Technology,1127
National University of Córdoba,1132
Nagaoka University of Technology,1132
The University of Electro-Communications,1132
